squeezing_db,pZ_proxy,loss_base,pE_data,pE_anc,distance,trials,success_prob_within_cap,erasure_rate,avg_rounds_given_success,avg_fidelity_injected_given_success,avg_fidelity_logical_given_success,p_phys_eff
13.5,0.0005322428345956954,0.01,0.010031934570075743,0.015047901855113613,1.0,5000.0,0.9698,0.0302,1.1845741389977316,0.795003254185227,0.7778978909526281,0.0011596728503787087
13.5,0.0005322428345956954,0.01,0.010031934570075743,0.015047901855113613,3.0,5000.0,0.9684,0.0316,1.184634448574969,0.7950032541852269,0.7930195916515556,0.0011596728503787087
13.5,0.0005322428345956954,0.01,0.010031934570075743,0.015047901855113613,5.0,5000.0,0.968,0.032,1.1735537190082646,0.7950032541852269,0.7947732142267655,0.0011596728503787087
13.5,0.0005322428345956954,0.01,0.010031934570075743,0.015047901855113613,7.0,5000.0,0.97,0.03,1.1701030927835052,0.7950032541852269,0.7949765770757936,0.0011596728503787087
14.0,0.00044679498425546064,0.01,0.010026807699055326,0.01504021154858299,1.0,5000.0,0.9682,0.0318,1.1790952282586242,0.7949761095768483,0.7782503964044939,0.0011340384952766383
14.0,0.00044679498425546064,0.01,0.010026807699055326,0.01504021154858299,3.0,5000.0,0.9702,0.0298,1.1805813234384663,0.7949761095768482,0.7930793493170079,0.0011340384952766383
14.0,0.00044679498425546064,0.01,0.010026807699055326,0.01504021154858299,5.0,5000.0,0.9682,0.0318,1.1875645527783516,0.7949761095768483,0.7947610096617514,0.0011340384952766383
14.0,0.00044679498425546064,0.01,0.010026807699055326,0.01504021154858299,7.0,5000.0,0.9664,0.0336,1.1912251655629138,0.7949761095768482,0.7949517164184434,0.0011340384952766383
14.5,0.000375065186377714,0.01,0.010022503911182663,0.015033755866773994,1.0,5000.0,0.9686,0.0314,1.1905843485442906,0.7949533192596939,0.7785462524717965,0.0011125195559133143
14.5,0.000375065186377714,0.01,0.010022503911182663,0.015033755866773994,3.0,5000.0,0.969,0.031,1.1803921568627451,0.7949533192596938,0.7931280009940229,0.0011125195559133143
14.5,0.000375065186377714,0.01,0.010022503911182663,0.015033755866773994,5.0,5000.0,0.9692,0.0308,1.1820057779612052,0.7949533192596938,0.7947502490330614,0.0011125195559133143
14.5,0.000375065186377714,0.01,0.010022503911182663,0.015033755866773994,7.0,5000.0,0.9702,0.0298,1.1875901875901875,0.7949533192596938,0.7949307272998586,0.0011125195559133143
15.0,0.00031485110395088306,0.01,0.010018891066237053,0.015028336599355577,1.0,5000.0,0.9684,0.0316,1.1753407682775712,0.7949341852415938,0.7787945706722715,0.001094455331185265
15.0,0.00031485110395088306,0.01,0.010018891066237053,0.015028336599355577,3.0,5000.0,0.9712,0.0288,1.1855436573311366,0.7949341852415938,0.7931677765207265,0.001094455331185265
15.0,0.00031485110395088306,0.01,0.010018891066237053,0.015028336599355577,5.0,5000.0,0.9654,0.0346,1.170913610938471,0.7949341852415938,0.7947408596974331,0.001094455331185265
15.0,0.00031485110395088306,0.01,0.010018891066237053,0.015028336599355577,7.0,5000.0,0.9718,0.0282,1.1817246346984975,0.7949341852415936,0.7949130266243475,0.001094455331185265
